_unit_id,positivity,date,headline,text,,,
842613486,4,9/27/13,"Consumer Spending Rises a Bit; Incomes Climb Solidly, but Stronger Economic Growth Faces Headwinds","Consumers boosted their spending only modestly in August, the latest sign of the U.S. economy struggling to gain steam as worries about government policies cloud the outlook.</br></br>Personal consumption, a broad measure of spending on everything from refrigerators to health care, rose 0.3% in August from a month earlier, the Commerce Department said Friday. Adjusted for inflation, spending climbed 0.2%.</br></br>The gains, while a slight pickup from July, showed consumers maintaining a relatively cautious stance as they moved into the fall. That could diminish hopes for a pickup in economic growth in the second half of the year.</br></br>Many economists say household spending is likely to slow if Washington's budget battles spook consumers, businesses and investors.</br></br>Consumer confidence already appears to have taken a hit after climbing into the summer: The University of Michigan reported Friday that its latest gauge of consumer sentiment fell to a five-month low.",,,
842613487,3,7/23/11,Small-Scale Deficit Deal Increases Risk of U.S. Downgrade,"WASHINGTON--The breakdown in deficit-reduction talks between the White House and Speaker of the House John Boehner (R., Ohio) could immediately increase the risk that Standard & Poor's takes the unprecedented step of lowering its top-notch rating of U.S. government debt.</br></br>The credit-rating firm has warned repeatedly that it could move to downgrade U.S. debt if it believes any deficit-reduction deal isn't robust enough to change the country's trajectory of future debt growth. A downgrade could come even if officials agree to raise the federal debt ceiling by Aug. 2. Treasury Department officials have set that as the deadline because after that date, without more borrowing authority, the government could run out of cash to pay all its bills.</br></br>Messrs. Obama and Boehner had been trying to package a deal that would reduce future federal deficits by $4 trillion over 10 years, a level S&P officials had suggested would be sufficient to avoid a downgrade. A lower credit rating would raise borrowing costs not just for the government, but also for consumers and businesses, which could slow U.S. economic growth. It also could lower the value of Treasury securities held as assets by banks, pension funds, mutual funds, hedge funds, and other investors around the world, potentially shaking financial markets.</br></br>Now that the large-scale talks have broken down, policy makers will likely pursue a smaller-scale deal that falls short of S&P's targets. Mr. Obama alluded to this possibility Friday evening.</br></br>""If we can't come up with a serious plan for actual deficit and debt reduction, and all we're doing is extending the debt ceiling for another six, seven, eight months, then the probabilities of downgrading U.S. credit are increased, and that will be an additional cloud over the economy and make it more difficult for us and more difficult for businesses to create jobs that the American people so desperately need,"" Mr. Obama said Friday evening.",,,
842613491,3,2/24/09,U.S. News: U.S. Watch,"HEALTH</br></br>Recession Likely to Boost</br></br>Government Outlays on Care</br></br>Government spending on health care is expected to jump 7.4% to $1.191 trillion this year as the recession curbs private health-care spending and swells the rolls of Medicaid and other government programs, a federal study concludes.</br></br>Overall, the nation's health-care expenditures are expected to reach $2.510 trillion, a 5.5% increase from 2008, when expenditures grew at a 6.1% pace, according to the study by economists and actuaries at the Centers for Medicare and Medicaid Services being published Tuesday in the journal Health Affairs.",,,
842613494,6,2/9/98,New Job Data Cast Doubt on Economy's Slowing,"WASHINGTON -- The spate of new jobs created by American companies last month casts doubt over the conventional wisdom that the economy is slowing.</br></br>Most analysts have argued that the Asian financial crisis was beginning to rein in the galloping U.S. economy to a more manageable trot. But in the government's first official look at January economic activity, the Labor Department said Friday that nonfarm businesses added 358,000 workers to their payrolls. That was slightly more than were generated in December's robust job market and well above the healthy 267,000 average monthly rise through 1997.</br></br>The employment report also showed how the rising economic tide is lifting more and more boats, with joblessness falling sharply even among high-school dropouts. For the first time, the Labor Department started reporting employment data by level of education, and said the unemployment rate for people without high-school diplomas fell to 7.2% last month from 8.9% a year earlier. Even so, the numbers confirmed that education still matters a lot: the unemployment rate for college graduates was a minuscule 1.9% last month, down from 2.1% a year earlier. (The department had been collecting these figures in the past, but not posting them.)</br></br>The January unemployment rate for all workers stayed at the same 4.7% of the work force reported in December. The low jobless level continued to give workers more bargaining power, as average hourly earnings rose by four cents, to $12.51. During the past year, wages rose 3.8%, or about twice the inflation rate. The figures are adjusted for seasonal factors.</br></br>In contrast, other data released recently indicate some sort of economic slowdown. The monthly survey of manufacturers' purchasing managers released last week showed some decline in business, as did the government's report on factory orders in December. Consumer confidence is reported to have dropped sharply in January. Anecdotal evidence -- such as disappointing profit reports and job cuts at blue-chip companies -- has added to the perception of softening. Policymakers have assumed some easing from last year's torrid growth rate was imminent. That was a big reason the Federal Reserve kept interest rates steady last week.",,,
842613496,7,12/15/07,"Dollar Jumps, Aided by Data","The dollar jumped to one-month highs against the euro and yen Friday on hard evidence that the U.S. economy isn't about to shrivel into recession.</br></br>New economic reports demonstrated the Federal Reserve's actions this week -- cutting interest rates a conservative quarter point and finding an alternative method to introduce more market liquidity -- were well-founded considering retail sales and inflation data reported Thursday and Friday, according to analysts.</br></br>""The Fed was roundly condemned on Tuesday afternoon for its seemingly detached attitude towards the crisis of confidence in the bank funding market,"" said Scotia Capital analysts.</br></br>But the reports have introduced some clarity -- and struck U.S. equities down in the process on the realization that another Fed rate cut might not be such a simple prediction, currency analysts concluded. The dollar, consequently, shot up against the euro with a newfound yield appeal and against the yen with the help of a negative economic report in Japan.</br></br>Late Friday in New York, the euro was at $1.4423 from $1.4625 late Thursday, while the dollar was at 113.40 yen from 112.22 yen. The pound was at $2.0172 from $2.0398, while the dollar was quoted at 1.1525 Swiss francs from 1.1413 francs.",,,
842613501,4,9/9/96,"Despite Rally, Worries Over Inflation Remain --- Economists Search For Better Indicators Than the Jobs Report","NEW YORK -- It's time to call a halt to the bond market's infatuation with the monthly employment data and look further afield for new ways to detect wage inflation.</br></br>That's the argument advanced by growing numbers of economists and market participants, as Americans continue to find jobs at a steady clip and the unemployment rate drops sharply. Weary of the bond-market gyrations touched off by each monthly employment report, they have embarked on a quest for new clues about inflation. Some are even putting their faith in anecdotal evidence instead of the sometimes confounding signals from the statistical data.</br></br>""The employment numbers are becoming increasingly less relevant as the numbers of people finding jobs has grown,"" argues Nancy Kimelman, chief economist at Technical Data in Boston. ""Frankly, there aren't that many people left to hire. . . . A gain of 300,000 in today's labor market is the equivalent of what would have been [a] massive gain of 700,000 jobs four years ago.""</br></br>The reason, Ms. Kimelman says, is that as the rate at which Americans find new jobs has leveled off at around 230,000 a month, the unemployment rate continues to fall and average hourly earnings continue to climb. Indeed, Friday's report showed that average hourly earnings rose six cents in August to $11.87, the highest level seen since December 1990, and the unemployment rate dropped to 5.1%. Those factors helped cap the Treasury market's ""relief"" rally, touched off when traders saw that the overall job growth was within expected bounds.</br></br>""The fixation on the `big' overall number of new jobs isn't sane,"" says one trader, disgruntled after a day of fielding more calls than he says he gets in an average week, all from clients seeking insight into a single figure.",,,
842613502,4,7/9/10,Retailers Stock Up on Caution,"Consumers aren't stepping up spending at the pace many retailers expected just a few months ago, raising the specter that stores will be stuck with piles of unsold goods later this year.</br></br>This dimming retail picture is part of a larger downshift in growth occurring across the economy. Consumer confidence slumped last month and the job market remains weak. On Thursday, the Federal Reserve reported consumer borrowing fell in May, another sign that they are wary about their finances.</br></br>All this bodes poorly for the kind of snapback in spending many stores anticipated only a few months ago. Last year's holiday sales were strong and many retailers expected robust growth to continue through this year, fueled in part by pent-up demand for washing machines and clothes that weren't bought during the recession.</br></br>The typical retailer has to place orders four months or more in advance of actual sales -- which makes them susceptible in the event that sales fail to materialize or simply grow much more slowly than expected.</br></br>Slower growth could mean stores will be stuck with excess inventory. J. Michael Stanley, managing director of Rosenthal & Rosenthal Inc., a specialty lender in the fashion industry known as a factor, says stores have been much more conservative in the orders they place now compared to a few months ago.",,,
842613503,4,1/4/88,Some Stocks Had Big Fourth-Quarter Gains Despite a Plunge in Broad Market Averages,"Never mind that the Dow Jones Industrial Average skidded 26% in 1987's fourth quarter, or that some broad market averages did even worse. A handful of stocks still showed spritely advances for the quarter.</br></br>Leading all gainers was Citizens Insurance Co. of America Class A, a tiny over-the-counter stock that leapt 100% in the three months ended Dec. 31.</br></br>Right behind it was Northview Corp., a San Diego-based financial and lodging concern that rose 77% in the fourth quarter. Things didn't look so good for Northview a year ago, when its chairman, Ivan Boesky, came under fire for his misdeeds on Wall Street. But Mr. Boesky quit his Northview job, and in the fourth quarter, new management negotiated a takeover of the company by Calmark Financial, simultaneous to a self-tender by Northview of all its stock outstanding.</br></br>Such winners are a bit on the esoteric side, though. Citizens Insurance's yearly revenue amounts to just $7 million, according to Media General's databank. And Northview chose to announce its Calmark transaction the morning of Oct. 19 -- right before the Dow Jones Industrials plunged 508 points that day. Investors might have had other things on their mind.</br></br>So what about the top performing stocks on major exchanges? In a quarter when the dollar kept falling and the U.S. trade deficit kept widening, it made sense that the New York Stock Exchange had to import its No. 1 stock. Leading the pack on the Big Board was Tricentrol PLC, a British oil stock that rose 40% amid takeover overtures from Elf Aquitaine of France.",,,
842613507,6,2/3/89,Bond Prices Are Little Changed In Slow Trading As Investors Brace for January Employment Data,"NEW YORK -- Bond prices were little changed in subdued trading yesterday as investors braced for the government's latest report this morning on employment.</br></br>The employment data for January are likely to prompt the Federal Reserve Board to push interest rates higher in an attempt to cool the fast-growing economy, many analysts and investors say. The report is expected to show that non-farm employment grew a strong 292,000, while the civilian unemployment rate held steady at 5.3% last month, according to the average estimate of 12 economists surveyed by Dow Jones Capital Markets Report.</br></br>If employment growth is as robust as economists expect, it would put pressure on the Federal Open Market Committee to tighten monetary policy when the Fed policy-making body meets Tuesday and Wednesday, analysts said.</br></br>The report is likely to lead to a ""volatile and erratic day,"" of trading, said Robert Falconer, a senior vice president in bond trading at CRT Government Securites Ltd. here. ""There is a strong likelihood that we will see a lot of selling.""</br></br>The data might also be used as a guiding light for finance ministers and central bank chiefs of the Group of Seven leading industrial nations -- the U.S., Britain, Japan, West Germany, France, Canada and Italy. They will be meeting in Washington today to discuss the prospects for reducing the U.S. budget deficit and for maintaining stable currency rates.",,,
842613509,3,1/16/09,"U.S. News: Producer Prices Log Another Monthly Drop, Showing the Weakness in Global Demand","U.S. wholesale prices sank further last month, a sign of how quickly the inflationary pressures of last summer have reversed.</br></br>Producer prices fell a seasonally adjusted 1.9% in December from the previous month, the Labor Department said, led by lower energy prices. It marks the fifth-straight monthly decline and a stunning reversal in just a few short months from the price pressures seen in mid-2008.</br></br>The lower prices bring some much-needed relief to hard-pressed businesses as the U.S. recession marches on -- but they also reflect weakness in global demand for goods. Manufacturing activity is down sharply in the world's biggest economies, including the U.S., Japan and Europe; it also has slowed in markets like China that once had enormous demand for raw materials. U.S. producer prices in December were down 0.9% from the previous year, the biggest yearly drop since 2001.</br></br>Energy prices fell 9.3% last month from November, as wholesale gasoline prices tumbled 25.7%. Food prices declined 1.5%. The declines are expected to be passed on to consumers, as businesses work to attract customers through heavy discounting. The Labor Department will release its December consumer prices on Friday.</br></br>Excluding food and energy, core producer prices held up last month, rising 0.2% from November and 4.3% from the previous year -- the largest annual gain in two decades. But core prices are expected to decline in the months ahead, which, combined with falling wages, is stoking concerns about a looming downward spiral of lower prices and spending known as deflation.",,,
842613512,7,1/22/88,Corporations' Orders to Buy Push Up Dollar --- An Early Slump Followed Yeutter Trade Remark,,"The dollar firmed yesterday, bouncing back from an overnight drop that occurred after U.S. trade envoy Clayton Yeutter gave a somewhat bearish outlook for the U.S. trade deficit.</br></br>Traders said one or more large corporate buy orders contributed to the dollar's recovery from its intraday lows. The corporate orders reportedly prompted many dealers to buy more dollars to cover short, or oversold, positions in the U.S. currency.</br></br>The sudden rise in the dollar's value during New York trading stirred rumors that the Federal Reserve had intervened on behalf of the U.S. currency. But traders at many commercial banks with which the Fed regularly deals said they saw no intervention by the central bank yesterday.</br></br>""The activity we saw was purely the result of speculative and corporate activity,"" Ian M. Spence, chief dealer at Manufacturers Hanover Trust Co., New York, said.</br></br>Traders said the dollar's big lift of the day came when one or more large corporate orders to buy as much as $300 million were worked into the market by a couple of big New York banks. ""The dollar just shot up,"" said Mary Anne T. Tompkins, the senior West German mark trader at Royal Bank of Canada's New York office.",,
842613518,2,10/1/10,How To Play Rising Rates,,"Author: Ben Levisohn</br></br>Bond yields hit record lows again this week. Is it time to start positioning your portfolio for rising rates?</br></br>At first blush such a move might seem like portfolio suicide. The main drivers of rising interest rates--economic growth and inflation--are nowhere in sight. In fact, Treasury yields could fall further if the Federal Reserve starts buying bonds again in a widely anticipated maneuver known as ""quantitative easing.""</br></br>But step back from day-to-day market gyrations and a different picture emerges. Bond yields have fallen for most of the past three decades. A $1,000 investment in the U.S. government debt in 1980 would be worth about $12,970 today, according to the Ryan Labs Treasury Composite Index. Treasury prices, which move in the opposite direction of yields, have surged 9.3% this year alone.</br></br>Now consider a different era: 1949 through 1979. Over that 30-year span, a $1,000 initial investment in Treasurys would have turned into a far humbler $2,950. That's because yields soared during the period; by 1980 the yield on the 10-year Treasury had reached a record high of nearly 16%.",,
842613524,6,3/12/90,Tracking the Economy: Economists Follow February Job Data Upward and Boost Output Estimates,"NEW YORK -- Economists padded their industrial production estimates -- grudgingly in some cases -- after February's robust payroll report.</br></br>The stronger job data are likely to be reflected in Friday's reports on output and capacity utilization, but analysts warn of several quirks in the employment numbers. What's more, they flag February's producer price index data as a reminder of troublesome inflation.</br></br>The week also holds reports on February housing starts and permits, retail sales and auto sales, and January's business inventories. Like the job figures, many of these reports can be swayed by seasonal factors or the stop-and-go auto industry.</br></br>Nonetheless, many economists were upgrading their output forecasts and thinking about raising their gross national product estimates last Friday after the job data were released.</br></br>""The numbers are the numbers, and that's the problem with this game,"" said Lawrence Kudlow, chief economist at Bear, Stearns & Co. Mr. Kudlow concedes he's considering raising his first-quarter GNP estimate of 1.5% by as much as a full percentage point after plugging the jobs numbers -- flawed or not -- into the GNP formula.",,,
842613526,8,7/1/97,New home sales rose 7.1% in May,,"WASHINGTON -- New home sales shot up 7.1% in May, the Commerce Department reported, indicating that the housing market is gaining momentum again after slowing down the month before.</br></br>The Commerce Department said new homes sold at a seasonally adjusted annual rate of 825,000 in May, nearly reversing the 8.1% decline in April.</br></br>Analysts have been astonished by home buyers' resilience. In its daily commentary about the economy, securities firm Donaldson, Lufkin & Jenrette Inc. told clients that the home-sales report indicates ""that the housing sector is strong, although it may have plateaued.""</br></br>For months now, analysts have been declaring that housing has hit its peak. Yet it keeps on thriving. Mortgage rates remain favorable, and consumers are definitely in good shape. ""What can you say?"" said economist Gary Ciminero of Independent Economic Advisory in Providence, R.I. ""We're seeing the results of record-high confidence levels, robust employment and good income growth.""</br></br>After buying homes, consumers usually turn around and spend more money on appliances, furniture and the like, continuing to propel economic growth.",,
842613529,6,5/28/87,U.S. Merchandise Trade Gap Shrank During 1st Quarter,"WASHINGTON -- The nation's merchandise trade deficit, calculated on a balance-of-payments basis, narrowed in the first quarter, but the improvement was restrained by rising import prices, government figures show.</br></br>The quarterly gap stood at $38.33 billion, compared with a revised $38.6 billion in the fourth quarter. Previously, the department put the fourth quarter deficit at $38.37 billion.</br></br>The value of imports increased 1% to $96.54 billion in the latest quarter after rising 2.1% to $95.62 billion in the third period. The first-quarter figures reflected a 3% drop in volume and a 4% increase in prices, however, the department said.</br></br>""It's another one of those reports in which imports grow a little and prices are up quite a bit,"" said David Hartman, senior economist at Data Resources Inc. in Lexington, Mass. ""The slow improvement that we have forseen still looks like it's on target.""</br></br>Imports of auto parts from Japan and Mexico grew strongly; other increases included building materials, textile products and capital goods other than aircraft. Imports of petroleum and related products rose 8.5% to $8.69 billion after increasing 1.4% to $8.01 billion in the fourth quarter. By volume, oil shipments fell to 6.09 million barrels a day from 6.9 million; the average price of a barrel rose to $15.63 from $12.74.",,,
842613533,4,9/2/12,Bernanke Faces Skepticism Over Policy,"JACKSON HOLE, Wyo.--Ben Bernanke encountered a heavy dose of skepticism and doubt here this weekend.</br></br>In a highly anticipated speech on monetary policy Friday, the Federal Reserve chairman argued that the Fed's easy-money policies were helping the weak economy and laid the groundwork for more action.</br></br>But economists and central bankers wondered more openly than usual if the Fed had the tools to fix the problems of the day and expressed frustration that four years of super low interest rates and extraordinary money-pumping by the Fed hadn't done more to spur the slow-moving economy.</br></br>""Why is it that we've had such incredibly accommodative monetary policy for so long and we've had so little growth?"" Donald Kohn, a Brookings Institution scholar, asked from the audience after a panel discussion here Saturday.</br></br>It was a striking question because Mr. Kohn is a former vice chairman of the Fed and was Mr. Bernanke's right-hand man during the financial crisis. The headwinds that the Fed often cites--Europe, household debt-reduction, the housing bust--he said were unsatisfying answers. ""There is a lot we don't understand,"" he said.",,,
842613534,3,1/3/06,Ahead of the Tape,"[Today's Market Forecast]</br></br>Mortal Coil</br></br>The good news about last year's flat stock market? Stocks got cheaper. The bad news? They could get cheaper still.</br></br>In 2005, the Dow Jones Industrial Average had one of the most uninspiring annual performances of its 109-year history, finishing the year down 0.6% -- which is to say almost perfectly flat. The broader market did a bit better, but with the Standard & Poor's 500-stock index gaining 3%, it, too, drew yawns rather than applause.</br></br>But even as the market treaded water, corporate profits grew quickly. Company analysts polled by Reuters Estimates predict that earnings for companies in the S&P 500 increased 13.6% in 2005. Because the S&P 500 went up less than its earnings, it's price/earnings ratio slipped. On Friday, the S&P 500 closed at 16.4 times 2005 earnings. It finished 2004 at 18 times that year's earnings. In fact, it's the lowest S&P 500 P/E ratio in 10 years.",,,
842613535,7,2/4/94,Use of stock-options contracts climbs as investors seek hedge,"ST. PETERSBURG, Fla. -- Use of stock-options contracts to hedge stock portfolios and speculate in the market is surging, pushing options trading to levels not seen since the 1987 stock-market crash.</br></br>Investor wariness as the Dow Jones Industrial Average continues to set records has helped bring new life to this previously moribund sector of the U.S. financial markets, as has the protracted takeover battle for Paramount Communications Inc.</br></br>""This long, drawn-out tender offer has proven to be very profitable for the options business,"" said Michael Schwartz, senior vice president at Oppenheimer & Co. ""But there also has been a steady turnaround in the business, with an influx of new users and a change of direction from index options to equity options.""</br></br>Many participants attending the Chicago Board Options Exchange convention here this weekend are wondering how long the nation's four major options exchanges can maintain their momentum.</br></br>Before last month, when these markets posted their highest daily and monthly volume totals in more than five years, the consensus in the U.S. options industry was that it had never really recovered from the crash. Thousands of overly aggressive investors, who used options contracts in risky, leveraged trading strategies, had been devastated in the 1987 cataclysm. And options trading fell sharply in the years that followed.",,,
